Index	d_yaw	d_pitch
1	-1.069081124132543	-0.7877857719206524
2	0.16882138686750395	-0.3939115029591985
3	-0.3376398424396445	-0.2813675305500248
4	0.2813675305500248	-0.22509467584049753
5	0.3376398424396445	-0.22509467584049753
6	-0.9003092299325635	-1.0690811241325433
7	0.9565684087728912	-1.7439539476017123
8	-1.181585593999279	-0.16882138686750398
9	0.6752562363485235	-0.16882138686750398
10	0.05627394038076028	-0.5064524357264285
11	-0.3376398424396445	-0.22509467584049753
12	0.5627214909165085	-1.5752737985053997
